"","Year","age_sex","population","sex","age_raw","age","pop_plot"
"1","1996","M.0.4",850,"Male","0.4","0-4",-850
"2","1996","M.5.9",810,"Male","5.9","5-9",-810
"3","1996","M.10.14",750,"Male","10.14","10-14",-750
"4","1996","M.15.19",645,"Male","15.19","15-19",-645
"5","1996","M.20.24",600,"Male","20.24","20-24",-600
"6","1996","M.25.29",755,"Male","25.29","25-29",-755
"7","1996","M.30.34",1015,"Male","30.34","30-34",-1015
"8","1996","M.35.39",1050,"Male","35.39","35-39",-1050
"9","1996","M.40.44",960,"Male","40.44","40-44",-960
"10","1996","M.45.49",865,"Male","45.49","45-49",-865
"11","1996","M.50.54",605,"Male","50.54","50-54",-605
"12","1996","M.55.59",480,"Male","55.59","55-59",-480
"13","1996","M.60.64",340,"Male","60.64","60-64",-340
"14","1996","M.65.69",225,"Male","65.69","65-69",-225
"15","1996","M.70.74",190,"Male","70.74","70-74",-190
"16","1996","M.75.79",90,"Male","75.79","75-79",-90
"17","1996","M.80.84",50,"Male","80.84","80-84",-50
"18","1996","M.85.",30,"Male","85","85+",-30
"19","1996","F.0.4",810,"Female","F.0.4","0-4",810
"20","1996","F.5.9",750,"Female","F.5.9","5-9",750
"21","1996","F.10.14",765,"Female","F.10.14","10-14",765
"22","1996","F.15.19",675,"Female","F.15.19","15-19",675
"23","1996","F.20.24",630,"Female","F.20.24","20-24",630
"24","1996","F.25.29",785,"Female","F.25.29","25-29",785
"25","1996","F.30.34",1060,"Female","F.30.34","30-34",1060
"26","1996","F.35.39",1170,"Female","F.35.39","35-39",1170
"27","1996","F.40.44",990,"Female","F.40.44","40-44",990
"28","1996","F.45.49",815,"Female","F.45.49","45-49",815
"29","1996","F.50.54",630,"Female","F.50.54","50-54",630
"30","1996","F.55.59",450,"Female","F.55.59","55-59",450
"31","1996","F.60.64",305,"Female","F.60.64","60-64",305
"32","1996","F.65.69",225,"Female","F.65.69","65-69",225
"33","1996","F.70.74",205,"Female","F.70.74","70-74",205
"34","1996","F.75.79",105,"Female","F.75.79","75-79",105
"35","1996","F.80.84",105,"Female","F.80.84","80-84",105
"36","1996","F.85.",60,"Female","F.85.","85+",60
"37","2021","M.0.4",835,"Male","0.4","0-4",-835
"38","2021","M.5.9",950,"Male","5.9","5-9",-950
"39","2021","M.10.14",1115,"Male","10.14","10-14",-1115
"40","2021","M.15.19",1060,"Male","15.19","15-19",-1060
"41","2021","M.20.24",925,"Male","20.24","20-24",-925
"42","2021","M.25.29",880,"Male","25.29","25-29",-880
"43","2021","M.30.34",1145,"Male","30.34","30-34",-1145
"44","2021","M.35.39",1200,"Male","35.39","35-39",-1200
"45","2021","M.40.44",1175,"Male","40.44","40-44",-1175
"46","2021","M.45.49",1300,"Male","45.49","45-49",-1300
"47","2021","M.50.54",1290,"Male","50.54","50-54",-1290
"48","2021","M.55.59",1270,"Male","55.59","55-59",-1270
"49","2021","M.60.64",1055,"Male","60.64","60-64",-1055
"50","2021","M.65.69",780,"Male","65.69","65-69",-780
"51","2021","M.70.74",615,"Male","70.74","70-74",-615
"52","2021","M.75.79",410,"Male","75.79","75-79",-410
"53","2021","M.80.84",275,"Male","80.84","80-84",-275
"54","2021","M.85.",180,"Male","85","85+",-180
"55","2021","F.0.4",755,"Female","F.0.4","0-4",755
"56","2021","F.5.9",880,"Female","F.5.9","5-9",880
"57","2021","F.10.14",975,"Female","F.10.14","10-14",975
"58","2021","F.15.19",995,"Female","F.15.19","15-19",995
"59","2021","F.20.24",820,"Female","F.20.24","20-24",820
"60","2021","F.25.29",860,"Female","F.25.29","25-29",860
"61","2021","F.30.34",1160,"Female","F.30.34","30-34",1160
"62","2021","F.35.39",1280,"Female","F.35.39","35-39",1280
"63","2021","F.40.44",1385,"Female","F.40.44","40-44",1385
"64","2021","F.45.49",1420,"Female","F.45.49","45-49",1420
"65","2021","F.50.54",1440,"Female","F.50.54","50-54",1440
"66","2021","F.55.59",1365,"Female","F.55.59","55-59",1365
"67","2021","F.60.64",1145,"Female","F.60.64","60-64",1145
"68","2021","F.65.69",880,"Female","F.65.69","65-69",880
"69","2021","F.70.74",670,"Female","F.70.74","70-74",670
"70","2021","F.75.79",495,"Female","F.75.79","75-79",495
"71","2021","F.80.84",305,"Female","F.80.84","80-84",305
"72","2021","F.85.",230,"Female","F.85.","85+",230
